,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"38,128.00","42,573.00","41,774.00","40,810.00","39,093.00"
Total Revenue,"38,128.00","42,573.00","41,774.00","40,810.00","39,093.00"
"Cost of Revenue, Total","28,635.00","31,717.00","31,157.00","30,420.00","29,106.00"
Gross Profit,"9,493.00","10,856.00","10,617.00","10,390.00","9,987.00"
"Selling/General/Admin. Expenses, Total","6,222.00","7,024.00","6,986.00","6,945.00","6,760.00"
Research & Development,429.00,466.00,454.00,450.00,440.00
"Interest Exp.(Inc.),Net-Operating, Total",(13.00),(24.00),(30.00),(33.00),(31.00)
Unusual Expense (Income),"1,300.00",725.00,"1,718.00",472.00,441.00
"Other Operating Expenses, Total",123.00,84.00,37.00,45.00,73.00
Total Operating Expense,"36,696.00","39,992.00","40,322.00","38,299.00","36,789.00"
Operating Income,"1,432.00","2,581.00","1,452.00","2,511.00","2,304.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(324.00),(344.00),(352.00),(275.00),(344.00)
"Other, Net",(93.00),(152.00),(134.00),(173.00),(192.00)
Net Income Before Taxes,"1,015.00","2,085.00",966.00,"2,063.00","1,768.00"
Provision for Income Taxes,526.00,631.00,492.00,438.00,416.00
Net Income After Taxes,489.00,"1,454.00",474.00,"1,625.00","1,352.00"
Minority Interest,(33.00),(48.00),(77.00),(59.00),(41.00)
Net Income Before Extra. Items,456.00,"1,406.00",397.00,"1,566.00","1,311.00"
Net Income,456.00,"1,406.00",397.00,"1,566.00","1,311.00"
Income Available to Com Excl ExtraOrd,456.00,"1,406.00",397.00,"1,566.00","1,311.00"
Income Available to Com Incl ExtraOrd,456.00,"1,406.00",397.00,"1,566.00","1,311.00"
Diluted Net Income,456.00,"1,406.00",397.00,"1,566.00","1,311.00"
Diluted Weighted Average Shares,539.33,545.16,550.02,556.66,557.16
Diluted EPS Excluding ExtraOrd Items,0.85,2.58,0.72,2.81,2.35
DPS - Common Stock Primary Issue,1.33,0.00,1.33,1.30,1.26
Diluted Normalized EPS,3.45,4.05,4.05,3.43,3.36
Dilution Adjustment,0.00,0.00,--,--,--
Total Extraordinary Items,0.00,921.00,--,--,--
