,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,456.00,"1,406.00",397.00,"1,566.00","1,311.00"
Depreciation/Depletion,"1,948.00","1,901.00","1,904.00","1,206.00","1,180.00"
Non-Cash Items,"1,073.00",435.00,"1,314.00",252.00,254.00
Cash Taxes Paid,466.00,493.00,538.00,209.00,460.00
Changes in Working Capital,"1,211.00",64.00,(413.00),(258.00),(782.00)
Cash from Operating Activities,"4,688.00","3,806.00","3,202.00","2,766.00","1,963.00"
Capital Expenditures,"(1,236.00)","(1,818.00)","(1,855.00)","(1,722.00)","(1,521.00)"
"Other Investing Cash Flow Items, Total","1,430.00",245.00,"(1,528.00)",(311.00),(172.00)
Cash from Investing Activities,194.00,"(1,573.00)","(3,383.00)","(2,033.00)","(1,693.00)"
Financing Cash Flow Items,(68.00),(14.00),(121.00),(46.00),(42.00)
Total Cash Dividends Paid,0.00,(729.00),(707.00),(693.00),(680.00)
"Issuance (Retirement) of Stock, Net",(519.00),(108.00),(339.00),(219.00),(269.00)
"Issuance (Retirement) of Debt, Net",(713.00),910.00,791.00,(159.00),(920.00)
Cash from Financing Activities,"(1,300.00)",59.00,(376.00),"(1,117.00)","(1,911.00)"
Foreign Exchange Effects,(126.00),7.00,(39.00),(70.00),(1.00)
Net Change in Cash,"3,456.00","2,299.00",(596.00),(454.00),"(1,642.00)"
