,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"20,469.00","24,135.00","22,028.00","21,960.00","20,907.00"
Total Revenue,"20,469.00","24,135.00","22,028.00","21,960.00","20,907.00"
"Cost of Revenue, Total","14,754.00","17,053.00","15,517.00","14,815.00","13,810.00"
Gross Profit,"5,715.00","7,082.00","6,511.00","7,145.00","7,097.00"
"Selling/General/Admin. Expenses, Total","3,121.00","3,316.00","3,171.00","3,697.00","3,415.00"
Research & Development,646.00,687.00,648.00,641.00,718.00
Depreciation/Amortization,87.00,91.00,39.00,--,--
Unusual Expense (Income),344.00,320.00,183.00,119.00,209.00
"Other Operating Expenses, Total",114.00,(23.00),(80.00),57.00,(36.00)
Total Operating Expense,"19,066.00","21,444.00","19,478.00","19,329.00","18,116.00"
Operating Income,"1,403.00","2,691.00","2,550.00","2,631.00","2,791.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(350.00),(342.00),(247.00),(152.00),(200.00)
"Other, Net",(74.00),(113.00),(73.00),(125.00),(127.00)
Net Income Before Taxes,979.00,"2,236.00","2,230.00","2,354.00","2,464.00"
Provision for Income Taxes,354.00,506.00,570.00,661.00,797.00
Net Income After Taxes,625.00,"1,730.00","1,660.00","1,693.00","1,667.00"
Minority Interest,7.00,21.00,17.00,7.00,9.00
Net Income Before Extra. Items,632.00,"1,751.00","1,677.00","1,700.00","1,676.00"
Net Income,632.00,"1,751.00","1,677.00","1,700.00","1,676.00"
Total Adjustments to Net Income,(4.00),(11.00),(12.00),(11.00),(12.00)
Income Available to Com Excl ExtraOrd,628.00,"1,740.00","1,665.00","1,689.00","1,664.00"
Income Available to Com Incl ExtraOrd,628.00,"1,740.00","1,665.00","1,689.00","1,664.00"
Dilution Adjustment,0.89,0.00,28.00,27.00,--
Diluted Net Income,628.89,"1,740.00","1,665.00","1,689.00","1,692.00"
Diluted Weighted Average Shares,179.17,180.15,179.98,180.84,187.43
Diluted EPS Excluding ExtraOrd Items,3.51,9.66,9.25,9.34,9.03
DPS - Common Stock Primary Issue,2.30,2.00,3.70,3.55,3.25
Diluted Normalized EPS,4.74,11.03,10.01,9.81,9.78
