,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
"Interest Income, Bank","23,534.00","25,107.00","24,817.00","24,704.00","25,050.00"
Total Interest Expense,"11,716.00","13,663.00","13,247.00","12,428.00","13,311.00"
Net Interest Income,"11,818.00","11,444.00","11,570.00","12,276.00","11,739.00"
Loan Loss Provision,"2,606.00","1,256.00","1,081.00","1,422.00","1,787.00"
Net Interest Inc. After Loan Loss Prov.,"9,212.00","10,188.00","10,489.00","10,854.00","9,952.00"
"Non-Interest Income, Bank","52,137.00","69,254.00","56,816.00","51,052.00","48,734.00"
"Non-Interest Expense, Bank","(56,761.00)","(73,490.00)","(60,809.00)","(55,977.00)","(55,339.00)"
Net Income Before Taxes,"4,588.00","5,952.00","6,496.00","5,929.00","3,347.00"
Provision for Income Taxes,"1,129.00",456.00,"1,466.00","1,732.00",695.00
Net Income After Taxes,"3,459.00","5,496.00","5,030.00","4,197.00","2,652.00"
Minority Interest,(546.00),(614.00),(627.00),(568.00),(415.00)
Net Income Before Extra. Items,"2,913.00","4,882.00","4,403.00","3,629.00","2,237.00"
Total Extraordinary Items,(221.00),(38.00),(3.00),20.00,"1,303.00"
Net Income,"2,692.00","4,844.00","4,400.00","3,649.00","3,540.00"
Total Adjustments to Net Income,(373.00),(587.00),(443.00),(454.00),(474.00)
Income Available to Com Excl ExtraOrd,"2,540.00","4,295.00","3,960.00","3,175.00","1,763.00"
Income Available to Com Incl ExtraOrd,"2,319.00","4,257.00","3,957.00","3,195.00","3,066.00"
Diluted Net Income,"2,319.00","4,257.00","3,957.00","3,195.00","3,066.00"
Diluted Weighted Average Shares,"2,885.32","2,873.41","2,853.70","2,843.58","2,736.88"
Diluted EPS Excluding ExtraOrd Items,0.88,1.49,1.39,1.12,0.64
DPS - Common Stock Primary Issue,0.80,0.00,0.69,0.63,0.60
Diluted Normalized EPS,(1.07),1.67,1.34,1.07,0.80
Dilution Adjustment,0.00,--,--,--,--
