NAME;CODE
SQLI;SQLI.PA
ST DUPONT;DPTP.PA
ST MICROELECTRONICS;STM.PA
STELLANTIS;STLA.PA
SOLUTION 30;ALS30.PA
SUEZ;SEVI.PA
SWORD GROUP;SWOR.PA
SYNERGIE;SDGI.PA
TARKETT;TKTT.PA
TELEPERFORMANCE;TEPRF.PA
TESSI;TESI.PA
THALES;TCFP.PA
TIVOLY;TIVO.PA
TOTAL;TOTF.PA
TOUAX;TETR.PA
TRANSGENE;TRNG.PA
TRIGANO;TRI.PA
UBISOFT;UBIP.PA
UNIBAIL;URW.AS
UNION TECH.INFOR.;UTIN.PA
VALEO;VLOF.PA
VALLOUREC;VLLP.PA
VALNEVA;VLS.PA
VEOLIA;VIE.PA
VICAT;VCTP.PA
VILMORIN & CIE;VILM.PA
VINCI;SGEF.PA
VIRBAC;VIRB.PA
VIVENDI;VIV.PA
VOLTALIA;VLTSA.PA
VRANKEN-POMMERY;VRKP.PA
WENDEL;MWDP.PA
WORLDLINE;WLN.PA
XILAM ANIMATION;XIL.PA
