,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17,31-Mar-16
Net Income/Starting Line,2.00,2.70,2.30,7.70,0.30
Non-Cash Items,5.00,4.00,1.30,(5.20),2.40
Cash Taxes Paid,0.00,0.10,(0.60),(0.40),--
Changes in Working Capital,(5.80),(1.90),0.60,0.60,(3.30)
Cash from Operating Activities,1.20,4.80,4.20,3.10,(0.60)
Capital Expenditures,0.00,0.00,0.00,0.00,0.00
"Other Investing Cash Flow Items, Total",(9.60),(7.20),(5.70),(6.70),(3.90)
Cash from Investing Activities,(9.60),(7.20),(5.70),(6.70),(3.90)
Financing Cash Flow Items,(0.10),(0.20),(0.30),(0.30),(0.70)
"Issuance (Retirement) of Stock, Net",0.80,8.10,1.20,9.00,2.60
"Issuance (Retirement) of Debt, Net",0.80,0.00,2.60,(5.30),0.00
Cash from Financing Activities,1.50,7.90,3.50,3.40,1.90
Foreign Exchange Effects,0.20,(0.10),0.00,0.10,0.10
Net Change in Cash,(6.70),5.40,2.00,(0.10),(2.50)
Cash Interest Paid,0.00,0.20,0.80,0.30,--
