,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17,31-Mar-16
Revenue,24.00,20.60,18.00,15.40,11.90
Total Revenue,24.00,20.60,18.00,15.40,11.90
"Cost of Revenue, Total",2.40,3.90,2.20,3.90,1.80
Gross Profit,21.60,16.70,15.80,11.50,10.10
"Selling/General/Admin. Expenses, Total",8.90,7.80,8.30,6.10,5.30
Research & Development,4.20,3.80,2.70,2.00,1.70
Depreciation/Amortization,5.70,3.60,2.20,1.80,1.60
Unusual Expense (Income),0.40,0.60,(0.20),(6.60),1.30
"Other Operating Expenses, Total",(0.10),(1.40),0.30,(0.30),0.20
Total Operating Expense,21.50,18.30,15.50,6.90,11.90
Operating Income,2.50,2.30,2.50,8.50,0.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.10),0.00,(0.10),(0.60),(0.80)
"Other, Net",(0.30),(0.20),(0.20),(0.20),0.10
Net Income Before Taxes,2.10,2.10,2.20,7.70,(0.70)
Provision for Income Taxes,0.10,(0.60),0.00,0.00,(0.50)
Net Income After Taxes,2.00,2.70,2.20,7.70,(0.20)
Minority Interest,0.30,0.00,0.00,0.00,--
Net Income Before Extra. Items,2.30,2.70,2.20,7.70,(0.20)
Total Extraordinary Items,0.00,0.00,0.00,--,--
Net Income,2.30,2.70,2.20,7.70,(0.20)
Income Available to Com Excl ExtraOrd,2.30,2.70,2.30,7.70,(0.10)
Income Available to Com Incl ExtraOrd,2.30,2.70,2.30,7.70,(0.10)
Diluted Net Income,2.30,2.70,2.30,7.70,(0.10)
Diluted Weighted Average Shares,280.51,278.74,247.93,228.13,163.47
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,0.03,(0.00)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,0.01,0.01,0.01,0.00,0.00
Total Adjustments to Net Income,0.10,0.10,--,--,--
