,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,406.20,"1,283.30","1,273.90","1,157.60",970.20
Depreciation/Depletion,"1,272.60","1,121.00",866.70,793.30,669.10
Non-Cash Items,(326.00),(462.90),(283.30),(219.80),(262.90)
Cash Taxes Paid,196.90,295.80,260.90,286.50,257.70
Changes in Working Capital,(247.10),(158.50),(214.70),(118.50),(77.10)
Cash from Operating Activities,"1,105.70","1,782.90","1,642.60","1,612.60","1,299.30"
Capital Expenditures,"(1,098.20)","(1,366.40)","(1,266.00)","(1,207.50)","(1,044.90)"
"Other Investing Cash Flow Items, Total",(264.50),(906.20),(90.10),(240.70),561.00
Cash from Investing Activities,"(1,362.70)","(2,272.60)","(1,356.10)","(1,448.20)",(483.90)
Financing Cash Flow Items,(35.40),(41.50),(59.70),(63.40),(84.80)
Total Cash Dividends Paid,0.00,(170.20),(150.90),(122.60),(88.80)
"Issuance (Retirement) of Stock, Net",6.20,(26.70),(32.30),(15.80),3.20
"Issuance (Retirement) of Debt, Net","1,154.60",937.60,519.10,86.30,(10.50)
Cash from Financing Activities,"1,125.40",699.20,276.20,(115.50),(180.90)
Foreign Exchange Effects,(96.30),4.60,(20.50),(48.10),(4.80)
Net Change in Cash,772.10,214.10,542.20,0.80,629.70
