,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"6,389.40","6,883.40","5,966.10","5,549.20","5,202.20"
Total Revenue,"6,389.40","6,883.40","5,966.10","5,549.20","5,202.20"
"Cost of Revenue, Total","2,013.30","2,124.90","1,791.80","1,659.30","1,681.90"
Gross Profit,"4,376.10","4,758.50","4,174.30","3,889.90","3,520.30"
"Selling/General/Admin. Expenses, Total","1,833.90","1,966.70","1,650.30","1,747.70","1,622.50"
Depreciation/Amortization,467.70,406.90,368.50,167.10,168.10
Unusual Expense (Income),(36.80),28.50,17.60,41.90,28.00
"Other Operating Expenses, Total",38.80,17.50,9.90,11.20,5.20
Total Operating Expense,"4,316.90","4,544.50","3,838.10","3,627.20","3,505.70"
Operating Income,"2,072.50","2,338.90","2,128.00","1,922.00","1,696.50"
"Interest Inc.(Exp.),Net-Non-Op., Total",(83.40),(70.50),(62.30),(49.20),(48.50)
"Other, Net",(2.70),1.90,0.50,17.00,0.80
Net Income Before Taxes,"1,986.40","2,270.30","2,066.20","1,889.80","1,648.80"
Provision for Income Taxes,613.00,751.00,672.20,669.30,555.50
Net Income After Taxes,"1,373.40","1,519.30","1,394.00","1,220.50","1,093.30"
Minority Interest,(4.10),(7.00),(5.10),(4.30),(3.90)
Equity In Affiliates,16.10,15.90,16.60,5.30,10.90
Net Income Before Extra. Items,"1,385.40","1,528.20","1,405.50","1,221.50","1,100.30"
Net Income,"1,385.40","1,528.20","1,405.50","1,221.50","1,100.30"
Income Available to Com Excl ExtraOrd,"1,385.40","1,528.20","1,405.50","1,221.50","1,100.30"
Income Available to Com Incl ExtraOrd,"1,385.40","1,528.20","1,405.50","1,221.50","1,100.30"
Diluted Net Income,"1,385.40","1,528.20","1,405.50","1,221.50","1,100.30"
Diluted Weighted Average Shares,104.89,105.06,104.88,105.16,105.12
Diluted EPS Excluding ExtraOrd Items,13.21,14.55,13.40,11.62,10.47
DPS - Common Stock Primary Issue,4.55,4.55,4.55,4.10,3.75
Diluted Normalized EPS,12.97,14.73,13.51,11.87,10.64
Dilution Adjustment,0.52,--,--,--,--
