,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,24.00,"2,700.00","3,330.00","3,291.00","1,713.00"
Depreciation/Depletion,"5,143.00","5,445.00","5,507.00","5,474.00","5,549.00"
Deferred Taxes,894.00,864.00,457.00,"1,075.00",435.00
Non-Cash Items,490.00,130.00,966.00,982.00,"2,128.00"
Cash Interest Paid,722.00,860.00,--,--,--
Changes in Working Capital,"2,632.00","2,025.00","(1,031.00)",(437.00),769.00
Cash from Operating Activities,"9,183.00","11,164.00","9,229.00","10,385.00","10,594.00"
Capital Expenditures,"(8,600.00)","(8,385.00)","(5,392.00)","(8,105.00)","(8,241.00)"
"Other Investing Cash Flow Items, Total",685.00,"5,400.00","(1,346.00)","(1,191.00)",(798.00)
Cash from Investing Activities,"(7,915.00)","(2,985.00)","(6,738.00)","(9,296.00)","(9,039.00)"
Financing Cash Flow Items,0.00,325.00,(79.00),(188.00),(120.00)
Total Cash Dividends Paid,0.00,"(3,056.00)",(1.00),(1.00),(18.00)
"Issuance (Retirement) of Debt, Net","9,087.00","(3,096.00)","(2,705.00)","(4,284.00)","(4,989.00)"
Cash from Financing Activities,"9,087.00","(5,827.00)","(2,785.00)","(4,473.00)","(5,127.00)"
Foreign Exchange Effects,"(1,513.00)",212.00,106.00,"(1,296.00)",228.00
Net Change in Cash,"8,842.00","2,564.00",(188.00),"(4,680.00)","(3,344.00)"
"Issuance (Retirement) of Stock, Net",876.00,--,--,--,--
