,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"8,749.00","5,166.00","4,774.00","6,396.00","8,118.00"
Cash & Equivalents,"15,097.00","9,848.00","7,676.00","6,242.00","9,200.00"
Short Term Investments,350.00,577.00,332.00,222.00,290.00
Cash and Short Term Investments,"24,196.00","15,591.00","12,782.00","12,860.00","17,608.00"
"Accounts Receivable - Trade, Net","1,581.00","2,064.00","2,048.00","2,460.00","2,479.00"
"Total Receivables, Net","5,634.00","7,000.00","7,607.00","8,102.00","7,479.00"
Total Inventory,"8,094.00","9,722.00","10,694.00","12,922.00","12,121.00"
Prepaid Expenses,457.00,524.00,418.00,377.00,389.00
"Other Current Assets, Total","1,672.00","2,095.00","6,791.00","2,013.00","2,125.00"
Total Current Assets,"40,053.00","34,932.00","38,292.00","36,274.00","39,722.00"
"Property/Plant/Equipment, Total - Gross","67,862.00","68,786.00","63,601.00","66,247.00","67,138.00"
"Accumulated Depreciation, Total","(40,280.00)","(40,178.00)","(37,294.00)","(37,233.00)","(36,707.00)"
"Property/Plant/Equipment, Total - Net","27,582.00","28,608.00","26,307.00","29,014.00","30,431.00"
"Goodwill, Net","10,131.00","11,065.00","10,834.00","10,396.00","11,817.00"
"Intangibles, Net","15,443.00","15,639.00","14,885.00","14,536.00","14,827.00"
Long Term Investments,"2,129.00","2,060.00","2,037.00","2,135.00","2,047.00"
Note Receivable - Long Term,"1,944.00","2,712.00","1,807.00","1,024.00",994.00
"Other Long Term Assets, Total","2,448.00","3,028.00","2,711.00","2,920.00","4,505.00"
Total Assets,"99,730.00","98,044.00","96,873.00","96,299.00","104,343.00"
Accounts Payable,"20,576.00","21,616.00","19,229.00","21,939.00","22,655.00"
Accrued Expenses,"3,039.00","3,080.00","3,280.00","4,367.00","4,116.00"
Notes Payable/Short Term Debt,41.00,151.00,457.00,357.00,410.00
Current Port. of LT Debt/Capital Leases,"4,040.00","4,725.00","5,404.00","6,888.00","7,527.00"
"Other Current liabilities, Total","11,341.00","13,782.00","18,104.00","13,718.00","14,761.00"
Total Current Liabilities,"39,037.00","43,354.00","46,474.00","47,269.00","49,469.00"
Long Term Debt,"15,698.00","6,745.00","8,462.00","10,520.00","15,587.00"
Capital Lease Obligations,"1,338.00","1,280.00",205.00,206.00,524.00
Total Long Term Debt,"17,036.00","8,025.00","8,667.00","10,726.00","16,111.00"
Total Debt,"21,117.00","12,901.00","14,528.00","17,971.00","24,048.00"
Deferred Income Tax,"1,845.00","1,628.00",937.00,388.00,194.00
Minority Interest,124.00,138.00,201.00,168.00,185.00
"Other Liabilities, Total","15,951.00","16,362.00","15,892.00","16,929.00","19,216.00"
Total Liabilities,"73,993.00","69,507.00","72,171.00","75,480.00","85,175.00"
"Common Stock, Total",20.00,20.00,19.00,19.00,19.00
Retained Earnings (Accumulated Deficit),"28,351.00","28,245.00","24,650.00","20,921.00","17,312.00"
Unrealized Gain (Loss),(1.00),5.00,(1.00),3.00,(11.00)
"Other Equity, Total","(2,633.00)",267.00,34.00,(124.00),"1,848.00"
Total Equity,"25,737.00","28,537.00","24,702.00","20,819.00","19,168.00"
Total Liabilities & Shareholders' Equity,"99,730.00","98,044.00","96,873.00","96,299.00","104,343.00"
Total Common Shares Outstanding,"2,024.33","1,976.46","1,959.56","1,949.03","1,936.91"
"Tangible Book Value per Share, Common Eq",0.08,0.93,(0.52),(2.11),(3.86)
Treasury Stock - Common,0.00,0.00,--,--,--
