,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"4,452.20","4,018.20","3,477.40","3,228.01","3,055.59"
Total Revenue,"4,452.20","4,018.20","3,477.40","3,228.01","3,055.59"
"Cost of Revenue, Total",749.60,633.60,510.80,473.97,463.60
Gross Profit,"3,702.60","3,384.60","2,966.60","2,754.04","2,591.99"
"Selling/General/Admin. Expenses, Total","1,647.00","1,555.80","1,357.20","1,258.23","1,183.03"
Research & Development,75.70,69.50,631.10,576.59,540.51
Depreciation/Amortization,394.50,244.00,171.60,160.29,155.83
Unusual Expense (Income),55.90,34.00,38.40,29.93,40.59
"Other Operating Expenses, Total",859.80,668.50,0.10,--,--
Total Operating Expense,"3,782.50","3,205.40","2,709.20","2,499.00","2,383.55"
Operating Income,669.70,812.80,768.20,729.01,672.03
"Interest Inc.(Exp.),Net-Non-Op., Total",(23.70),7.20,195.70,6.59,(20.90)
"Other, Net",0.30,(4.10),(180.10),15.83,10.37
Net Income Before Taxes,646.30,815.90,783.80,751.42,661.50
Provision for Income Taxes,160.80,209.60,220.40,231.28,209.29
Net Income After Taxes,485.50,606.30,563.40,520.14,452.21
Minority Interest,5.50,9.00,6.00,(0.73),(5.02)
Net Income Before Extra. Items,491.00,615.30,569.40,519.41,447.19
Net Income,491.00,615.30,569.40,519.41,447.19
Income Available to Com Excl ExtraOrd,491.00,615.30,569.40,519.41,447.19
Income Available to Com Incl ExtraOrd,491.00,615.30,569.40,519.41,447.19
Diluted Net Income,491.00,615.30,569.40,519.41,447.19
Diluted Weighted Average Shares,264.17,263.20,260.75,258.30,257.40
Diluted EPS Excluding ExtraOrd Items,1.86,2.34,2.18,2.01,1.74
DPS - Common Stock Primary Issue,0.56,0.70,0.65,0.58,0.53
Diluted Normalized EPS,2.02,2.43,2.29,2.09,1.85
Dilution Adjustment,0.00,0.00,--,--,--
