,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
"Interest Income, Bank","20,721.00","23,712.00","22,678.00","23,679.00","24,660.00"
Total Interest Expense,"10,248.00","12,527.00","11,659.00","13,263.00","15,193.00"
Net Interest Income,"10,473.00","11,185.00","11,019.00","10,416.00","9,467.00"
Loan Loss Provision,"3,306.00","1,278.00","1,005.00","1,349.00","2,091.00"
Net Interest Inc. After Loan Loss Prov.,"7,167.00","9,907.00","10,014.00","9,067.00","7,376.00"
"Non-Interest Income, Bank","24,981.00","27,084.00","26,867.00","45,267.00","40,731.00"
"Non-Interest Expense, Bank","(30,748.00)","(31,781.00)","(30,764.00)","(49,196.00)","(41,800.00)"
Net Income Before Taxes,"1,400.00","5,210.00","6,117.00","5,138.00","6,307.00"
Provision for Income Taxes,"1,204.00","1,264.00","1,304.00","1,455.00","1,969.00"
Net Income After Taxes,196.00,"3,946.00","4,813.00","3,683.00","4,338.00"
Minority Interest,(454.00),(698.00),(692.00),(624.00),(464.00)
Net Income Before Extra. Items,(258.00),"3,248.00","4,121.00","3,059.00","3,874.00"
Net Income,(258.00),"3,248.00","4,121.00","2,806.00","3,874.00"
Total Adjustments to Net Income,(611.00),(712.00),(719.00),(466.00),(472.00)
Income Available to Com Excl ExtraOrd,(869.00),"2,536.00","3,402.00","2,593.00","3,402.00"
Income Available to Com Incl ExtraOrd,(869.00),"2,536.00","3,402.00","2,340.00","3,402.00"
Diluted Net Income,(869.00),"2,536.00","3,402.00","2,340.00","3,402.83"
Diluted Weighted Average Shares,850.38,829.90,801.91,800.60,798.79
Diluted EPS Excluding ExtraOrd Items,(1.02),3.06,4.24,3.24,4.26
DPS - Common Stock Primary Issue,0.55,0.00,2.20,2.20,2.20
Diluted Normalized EPS,(0.49),3.28,4.41,3.09,4.69
Total Extraordinary Items,(253.00),--,--,--,--
Dilution Adjustment,0.83,(0.21),--,--,--
