,30-Jun-20,30-Jun-19,30-Jun-18,30-Jun-17,30-Jun-16
Net Income/Starting Line,329.00,"1,455.00","1,577.00","1,393.00","1,235.00"
Depreciation/Depletion,350.00,226.00,216.00,219.00,219.00
Non-Cash Items,"1,742.00","1,029.00",743.00,881.00,861.00
Cash Taxes Paid,474.00,521.00,371.00,408.00,393.00
Cash Interest Paid,371.00,340.00,361.00,410.00,471.00
Changes in Working Capital,"(1,242.00)",(992.00),(760.00),(851.00),(979.00)
Cash from Operating Activities,"1,179.00","1,718.00","1,776.00","1,642.00","1,336.00"
Capital Expenditures,(365.00),(388.00),(374.00),(367.00),(333.00)
"Other Investing Cash Flow Items, Total",(571.00),(128.00),(30.00),74.00,(26.00)
Cash from Investing Activities,(936.00),(516.00),(404.00),(293.00),(359.00)
Financing Cash Flow Items,1.00,0.00,0.00,0.00,(1.00)
Total Cash Dividends Paid,(849.00),(645.00),(551.00),(511.00),(497.00)
"Issuance (Retirement) of Stock, Net",(526.00),(121.00),(23.00),(36.00),(18.00)
"Issuance (Retirement) of Debt, Net","2,169.00",(268.00),(713.00),(609.00),(413.00)
Cash from Financing Activities,795.00,"(1,034.00)","(1,287.00)","(1,156.00)",(928.00)
Foreign Exchange Effects,(26.00),1.00,(8.00),(86.00),(25.00)
Net Change in Cash,"1,012.00",169.00,77.00,107.00,24.00
