,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(929.00),157.00,917.00,"1,116.00",674.00
Depreciation/Depletion,"2,416.00","1,906.00",944.00,"1,152.00","1,302.00"
Non-Cash Items,(423.00),77.00,218.00,(244.00),100.00
Cash Taxes Paid,97.00,263.00,235.00,237.00,212.00
Cash Interest Paid,119.00,115.00,111.00,111.00,--
Changes in Working Capital,178.00,(325.00),(359.00),(434.00),(288.00)
Cash from Operating Activities,"1,242.00","1,815.00","1,720.00","1,590.00","1,788.00"
Capital Expenditures,(535.00),(857.00),(833.00),(822.00),(981.00)
"Other Investing Cash Flow Items, Total","1,246.00",(23.00),49.00,906.00,174.00
Cash from Investing Activities,711.00,(880.00),(784.00),84.00,(807.00)
Financing Cash Flow Items,(367.00),(985.00),(127.00),(382.00),(259.00)
Total Cash Dividends Paid,(387.00),(426.00),(411.00),(396.00),(470.00)
"Issuance (Retirement) of Stock, Net",(19.00),23.00,(22.00),(14.00),(55.00)
"Issuance (Retirement) of Debt, Net",(919.00),158.00,(251.00),(892.00),"(1,167.00)"
Cash from Financing Activities,"(1,692.00)","(1,230.00)",(811.00),"(1,684.00)","(1,951.00)"
Foreign Exchange Effects,(61.00),1.00,(14.00),(52.00),(12.00)
Net Change in Cash,200.00,(294.00),111.00,(62.00),(982.00)
