,31-Mar-21,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17
Cash,"1,095.00","1,060.00",595.00,409.00,459.00
Cash & Equivalents,155.00,"1,115.00","2,837.00",822.00,"1,104.00"
Cash and Short Term Investments,"1,250.00","2,175.00","3,432.00","1,231.00","1,563.00"
"Accounts Receivable - Trade, Net","5,014.00","3,225.00","3,109.00","2,984.00","1,693.00"
"Total Receivables, Net","5,901.00","3,845.00","3,669.00","3,571.00","2,181.00"
Total Inventory,"2,962.00","1,743.00","1,533.00","1,440.00",916.00
Prepaid Expenses,350.00,118.00,141.00,234.00,156.00
"Other Current Assets, Total",704.00,499.00,315.00,515.00,"3,563.00"
Total Current Assets,"11,167.00","8,380.00","9,090.00","6,991.00","8,379.00"
"Property/Plant/Equipment, Total - Gross","5,267.00","2,807.00","2,260.00","2,075.00","1,943.00"
"Accumulated Depreciation, Total","(2,717.00)","(1,436.00)","(1,307.00)","(1,221.00)","(1,194.00)"
"Property/Plant/Equipment, Total - Net","2,550.00","1,371.00",953.00,854.00,749.00
"Goodwill, Net","9,200.00","1,567.00","1,574.00","1,422.00","1,513.00"
"Intangibles, Net","2,800.00",470.00,470.00,416.00,395.00
Long Term Investments,"1,543.00",753.00,775.00,591.00,"2,810.00"
Note Receivable - Long Term,270.00,56.00,41.00,64.00,56.00
"Other Long Term Assets, Total","1,036.00",411.00,507.00,"2,908.00",459.00
Total Assets,"28,566.00","13,008.00","13,410.00","13,246.00","14,361.00"
Accounts Payable,"3,615.00","1,653.00","1,751.00","1,346.00","1,029.00"
Accrued Expenses,"1,039.00",668.00,590.00,572.00,540.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,687.00,401.00,"1,032.00",543.00,444.00
"Other Current liabilities, Total","9,488.00","5,053.00","4,686.00","5,164.00","5,870.00"
Total Current Liabilities,"14,829.00","7,775.00","8,059.00","7,625.00","7,883.00"
Long Term Debt,"1,651.00",772.00,89.00,952.00,"1,362.00"
Capital Lease Obligations,590.00,465.00,197.00,212.00,233.00
Total Long Term Debt,"2,241.00","1,237.00",286.00,"1,164.00","1,595.00"
Total Debt,"2,928.00","1,638.00","1,318.00","1,707.00","2,039.00"
Deferred Income Tax,108.00,17.00,21.00,22.00,23.00
Minority Interest,78.00,57.00,68.00,54.00,52.00
"Other Liabilities, Total","2,271.00",651.00,885.00,"1,005.00","1,147.00"
Total Liabilities,"19,527.00","9,737.00","9,319.00","9,870.00","10,700.00"
"Common Stock, Total","2,598.00","1,581.00","1,565.00","1,555.00","1,538.00"
Additional Paid-In Capital,"5,315.00",980.00,931.00,917.00,890.00
Retained Earnings (Accumulated Deficit),"1,908.00","1,610.00","2,366.00","1,709.00","1,906.00"
"Other Equity, Total",(782.00),(900.00),(771.00),(805.00),(673.00)
Total Equity,"9,039.00","3,271.00","4,091.00","3,376.00","3,661.00"
Total Liabilities & Shareholders' Equity,"28,566.00","13,008.00","13,410.00","13,246.00","14,361.00"
Total Common Shares Outstanding,371.20,243.70,241.11,239.64,236.95
"Tangible Book Value per Share, Common Eq",(7.98),5.06,8.49,6.42,7.40
