,31-Mar-21,30-Sep-20
Revenue,"5,267.00","3,518.00"
Total Revenue,"5,267.00","3,518.00"
"Cost of Revenue, Total","4,448.00","2,952.00"
Gross Profit,819.00,566.00
"Selling/General/Admin. Expenses, Total",363.00,270.00
Research & Development,152.00,94.00
Depreciation/Amortization,41.00,31.00
Unusual Expense (Income),153.00,(19.00)
Total Operating Expense,"5,157.00","3,328.00"
Operating Income,110.00,190.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(20.00),(11.00)
"Other, Net",(25.00),(12.00)
Net Income Before Taxes,65.00,167.00
Provision for Income Taxes,25.00,38.00
Net Income After Taxes,40.00,129.00
Minority Interest,(7.00),(5.00)
Equity In Affiliates,46.00,37.00
Net Income Before Extra. Items,79.00,161.00
Total Extraordinary Items,(2.00),9.00
Net Income,77.00,170.00
Income Available to Com Excl ExtraOrd,79.00,161.00
Income Available to Com Incl ExtraOrd,77.00,170.00
Diluted Net Income,77.00,170.00
Diluted Weighted Average Shares,297.71,245.97
Diluted EPS Excluding ExtraOrd Items,0.27,0.65
DPS - Common Stock Primary Issue,0.25,0.00
Diluted Normalized EPS,0.58,0.81
