,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"5,438.80","4,562.80","3,781.15","2,971.42","2,536.61"
Total Revenue,"5,438.80","4,562.80","3,781.15","2,971.42","2,536.61"
"Cost of Revenue, Total","4,026.10","3,632.10","3,061.30","2,414.69","2,056.98"
Gross Profit,"1,412.70",930.70,719.85,556.72,479.62
"Selling/General/Admin. Expenses, Total",0.00,0.00,0.00,--,--
Depreciation/Amortization,389.10,357.20,199.09,157.16,122.01
Total Operating Expense,"4,415.20","3,989.30","3,260.39","2,571.86","2,178.99"
Operating Income,"1,023.60",573.50,520.76,399.56,357.62
"Interest Inc.(Exp.),Net-Non-Op., Total",(97.50),(93.20),(59.72),(42.74),(68.70)
"Other, Net",(5.90),(3.10),(0.00),0.00,19.91
Net Income Before Taxes,920.20,477.20,461.04,356.82,308.83
Provision for Income Taxes,213.00,116.90,104.98,54.48,81.36
Net Income After Taxes,707.20,360.30,356.06,302.34,227.47
Minority Interest,(1.00),0.00,0.36,(2.07),(3.51)
Net Income Before Extra. Items,706.20,360.30,356.42,300.27,223.96
Total Extraordinary Items,(166.70),(165.00),(132.48),(83.50),(49.96)
Net Income,539.50,195.30,223.94,216.77,174.00
Total Adjustments to Net Income,(34.20),(49.80),(48.62),(37.34),(35.63)
Income Available to Com Excl ExtraOrd,672.00,310.50,307.80,262.93,188.33
Income Available to Com Incl ExtraOrd,505.30,145.50,175.32,179.44,138.37
Diluted Net Income,505.30,145.50,175.32,179.44,138.37
Diluted Weighted Average Shares,195.90,186.00,183.01,179.98,169.57
Diluted EPS Excluding ExtraOrd Items,3.43,1.67,1.68,1.46,1.11
DPS - Common Stock Primary Issue,0.68,0.00,0.29,0.24,0.20
Diluted Normalized EPS,3.43,1.67,1.68,1.46,1.11
Dilution Adjustment,0.00,0.00,0.00,--,--
"Other Operating Expenses, Total",0.00,--,--,--,--
