,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(578.00),"(2,391.00)","5,330.00","4,575.00","1,734.00"
Depreciation/Depletion,"2,960.00","3,067.00","2,799.00","2,768.00","2,721.00"
Non-Cash Items,"1,751.00","4,125.00","2,374.00","1,212.00","1,421.00"
Cash Taxes Paid,705.00,484.00,629.00,506.00,296.00
Cash Interest Paid,604.00,723.00,749.00,947.00,"1,354.00"
Changes in Working Capital,(54.00),"1,226.00","(6,317.00)","(3,979.00)","(3,181.00)"
Cash from Operating Activities,"4,079.00","6,027.00","4,186.00","4,576.00","2,695.00"
Capital Expenditures,"(2,439.00)","(3,572.00)","(3,305.00)","(2,819.00)","(2,444.00)"
"Other Investing Cash Flow Items, Total",428.00,(252.00),(454.00),(11.00),"1,301.00"
Cash from Investing Activities,"(2,011.00)","(3,824.00)","(3,759.00)","(2,830.00)","(1,143.00)"
Financing Cash Flow Items,(181.00),(129.00),(187.00),0.00,27.00
"Issuance (Retirement) of Stock, Net",105.00,(90.00),(111.00),0.00,"3,115.00"
"Issuance (Retirement) of Debt, Net","(1,422.00)",936.00,(290.00),"(1,590.00)","(6,007.00)"
Cash from Financing Activities,"(1,498.00)",514.00,(689.00),"(1,731.00)","(2,926.00)"
Foreign Exchange Effects,163.00,(22.00),(140.00),58.00,(127.00)
Net Change in Cash,733.00,"2,695.00",(402.00),73.00,"(1,501.00)"
Total Cash Dividends Paid,(203.00),(101.00),(141.00),(61.00),(416.00)
