,30-Jun-21,31-Dec-20
Revenue,824.00,704.00
Total Revenue,824.00,704.00
"Cost of Revenue, Total",25.00,20.00
Gross Profit,799.00,684.00
"Selling/General/Admin. Expenses, Total",919.00,849.00
Depreciation/Amortization,118.00,137.00
Unusual Expense (Income),(585.00),(42.00)
"Other Operating Expenses, Total",1.00,--
Total Operating Expense,478.00,964.00
Operating Income,346.00,(260.00)
"Interest Inc.(Exp.),Net-Non-Op., Total",(258.00),(254.00)
"Other, Net",(8.00),(27.00)
Net Income Before Taxes,80.00,(541.00)
Provision for Income Taxes,(3.00),(67.00)
Net Income After Taxes,83.00,(474.00)
Minority Interest,(3.00),0.00
Net Income Before Extra. Items,80.00,(474.00)
Total Extraordinary Items,(14.00),(3.00)
Net Income,66.00,(477.00)
Total Adjustments to Net Income,(34.00),2.00
Income Available to Com Excl ExtraOrd,46.00,(472.00)
Income Available to Com Incl ExtraOrd,32.00,(475.00)
Diluted Net Income,32.00,(475.00)
Diluted Weighted Average Shares,266.67,256.99
Diluted EPS Excluding ExtraOrd Items,0.17,(1.84)
DPS - Common Stock Primary Issue,0.00,0.00
Diluted Normalized EPS,(1.25),(1.94)
