,30-Jun-21,31-Dec-20
Cash & Equivalents,324.53,0.00
Cash and Short Term Investments,324.53,467.97
"Accounts Receivable - Trade, Net",203.67,191.99
"Total Receivables, Net",285.71,268.16
Total Inventory,8.57,9.52
Total Current Assets,618.80,745.64
"Property/Plant/Equipment, Total - Gross",357.91,221.26
"Accumulated Depreciation, Total",(145.39),(145.59)
"Property/Plant/Equipment, Total - Net",212.52,217.48
"Goodwill, Net",713.63,691.39
"Intangibles, Net",118.00,112.47
Long Term Investments,96.82,98.06
"Other Long Term Assets, Total",117.68,110.11
Total Assets,"1,877.44","1,975.15"
Accounts Payable,128.85,125.37
Accrued Expenses,266.75,279.15
Notes Payable/Short Term Debt,0.00,0.00
Current Port. of LT Debt/Capital Leases,111.64,43.73
"Other Current liabilities, Total",98.12,137.75
Total Current Liabilities,605.36,585.99
Long Term Debt,538.11,635.52
Capital Lease Obligations,118.75,114.67
Total Long Term Debt,656.86,750.19
Total Debt,768.50,793.92
Deferred Income Tax,33.41,31.55
Minority Interest,1.95,2.43
"Other Liabilities, Total",117.60,114.80
Total Liabilities,"1,415.17","1,484.96"
"Common Stock, Total",47.75,47.75
Additional Paid-In Capital,184.02,183.72
Retained Earnings (Accumulated Deficit),54.21,82.68
"Other Equity, Total",176.28,176.04
Total Equity,462.27,490.19
Total Liabilities & Shareholders' Equity,"1,877.44","1,975.15"
Total Common Shares Outstanding,30.57,30.57
"Tangible Book Value per Share, Common Eq",(12.08),(10.26)
Cash,467.97,--
