,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"1,503.45","1,801.49","1,505.33","1,334.39","1,122.67"
Total Revenue,"1,503.45","1,801.49","1,505.33","1,334.39","1,122.67"
"Selling/General/Admin. Expenses, Total","1,145.85","1,239.13","1,004.40",877.49,715.22
Depreciation/Amortization,72.83,56.40,21.69,19.08,15.98
"Interest Exp.(Inc.),Net-Operating, Total",(1.56),(2.49),(1.83),(2.29),0.00
"Other Operating Expenses, Total",456.82,387.23,372.77,350.87,314.41
Total Operating Expense,"1,673.93","1,680.26","1,415.26","1,259.10","1,079.89"
Operating Income,(170.47),121.22,90.07,75.29,42.79
"Interest Inc.(Exp.),Net-Non-Op., Total",(19.07),(16.16),(14.72),(11.91),(8.79)
"Other, Net",(8.33),(1.34),(2.40),(4.11),(1.54)
Net Income Before Taxes,(197.88),103.72,72.95,59.27,32.46
Provision for Income Taxes,(29.97),30.45,19.89,15.21,15.55
Net Income After Taxes,(167.91),73.27,53.06,44.06,16.91
Minority Interest,(0.85),(0.23),(2.91),(4.81),(4.19)
Net Income Before Extra. Items,(168.76),73.04,50.15,39.25,12.72
Net Income,(168.76),73.04,50.15,39.25,12.72
Total Adjustments to Net Income,(0.00),0.00,0.00,0.00,--
Income Available to Com Excl ExtraOrd,(168.76),73.04,50.15,39.25,12.72
Income Available to Com Incl ExtraOrd,(168.76),73.04,50.15,39.25,12.72
Diluted Net Income,(168.76),73.04,50.15,39.25,12.72
Diluted Weighted Average Shares,21.16,22.28,22.08,22.02,21.64
Diluted EPS Excluding ExtraOrd Items,(7.98),3.28,2.27,1.78,0.59
DPS - Common Stock Primary Issue,0.00,0.00,0.64,0.64,0.55
Diluted Normalized EPS,(7.98),3.28,2.87,2.25,1.41
Unusual Expense (Income),18.23,13.96,34.27,12.85,--
Dilution Adjustment,0.00,0.00,--,--,--
"Cost of Revenue, Total",0.18,--,--,--,--
Gross Profit,"1,001.51",--,--,--,--
