,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(167.91),73.27,53.06,44.06,16.91
Depreciation/Depletion,143.41,42.23,21.84,18.77,31.95
Non-Cash Items,(16.65),46.56,34.85,28.21,17.55
Cash Taxes Paid,14.88,20.97,12.14,13.87,13.18
Cash Interest Paid,22.75,16.63,16.82,12.32,10.47
Changes in Working Capital,210.78,(1.02),19.74,(21.91),6.16
Cash from Operating Activities,169.64,161.05,129.48,69.13,72.57
Capital Expenditures,(29.10),(32.23),(35.71),(38.86),(33.56)
"Other Investing Cash Flow Items, Total",(374.99),(24.01),(129.82),(92.08),(21.54)
Cash from Investing Activities,(404.09),(56.24),(165.53),(130.94),(55.10)
Financing Cash Flow Items,(21.40),(16.11),(16.65),(11.88),(8.31)
Total Cash Dividends Paid,0.00,(14.03),(13.77),(11.80),(9.83)
"Issuance (Retirement) of Stock, Net",194.31,157.13,0.00,(0.36),(0.21)
"Issuance (Retirement) of Debt, Net",61.39,(37.08),(92.52),358.17,(55.06)
Cash from Financing Activities,234.30,89.91,(122.93),334.48,(73.56)
Foreign Exchange Effects,(1.11),2.72,(0.13),(0.73),(0.07)
Net Change in Cash,(1.26),197.45,(159.11),271.93,(56.16)
