,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,668.73,681.45,666.90,562.95,503.82
Total Revenue,668.73,681.45,666.90,562.95,503.82
"Cost of Revenue, Total",76.34,62.69,59.96,46.07,43.89
Gross Profit,592.39,618.77,606.94,516.89,459.93
"Selling/General/Admin. Expenses, Total",92.04,92.97,86.92,71.84,64.57
Depreciation/Amortization,9.66,13.40,13.58,5.51,4.67
"Interest Exp.(Inc.),Net-Operating, Total",154.66,"(1,004.27)",(565.78),"(1,555.77)",(532.96)
Unusual Expense (Income),79.69,(129.16),17.43,(0.57),(36.41)
"Other Operating Expenses, Total",1.17,(14.57),(65.63),(8.94),(1.26)
Total Operating Expense,413.56,(978.95),(453.52),"(1,441.87)",(457.50)
Operating Income,255.17,"1,660.40","1,120.42","2,004.82",961.33
"Interest Inc.(Exp.),Net-Non-Op., Total",(110.49),(120.35),(100.67),(57.70),(110.04)
"Other, Net",0.09,(19.02),(7.09),(29.26),(67.83)
Net Income Before Taxes,144.77,"1,521.03","1,012.66","1,917.86",783.47
Provision for Income Taxes,(9.57),4.14,5.69,6.92,3.52
Net Income After Taxes,154.34,"1,516.89","1,006.97","1,910.94",779.95
Minority Interest,0.49,(1.60),(1.98),(15.38),1.16
Net Income Before Extra. Items,154.83,"1,515.29","1,004.99","1,895.56",781.10
Net Income,154.83,"1,515.29","1,004.99","1,895.56",813.47
Total Adjustments to Net Income,0.00,--,--,--,--
Income Available to Com Excl ExtraOrd,154.83,"1,515.29","1,004.99","1,895.56",781.10
Income Available to Com Incl ExtraOrd,154.83,"1,515.29","1,004.99","1,895.56",813.47
Dilution Adjustment,0.00,0.02,0.11,0.45,0.57
Diluted Net Income,154.83,"1,515.31","1,005.10","1,896.01",814.04
Diluted Weighted Average Shares,73.70,73.85,73.96,67.04,64.84
Diluted EPS Excluding ExtraOrd Items,2.10,20.52,13.59,28.28,12.05
DPS - Common Stock Primary Issue,5.30,5.30,5.50,5.30,5.08
Diluted Normalized EPS,2.80,18.77,13.82,28.27,11.50
Total Extraordinary Items,0.00,32.37,243.49,--,--
