NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE;Country;Financials
American Airlines Group;Airlines;Airlines;AAL.N;AAL;US;
American Electric Power;Energy;Electric Utilities;AEP.N;AEP;US;
American Express;Financials;Consumer Finance;AXP.N;AXP;US;
American International Group;Insurance;Property & Casualty Insurance;AIG.N;AIG;US;
American Tower;Real Estate;Specialized REITs;AMT.N;AMT;US;
American Water Works;Utilities;Water Utilities;AWK.N;AWK;US;
Ameriprise Financial;Asset Management;Asset Management & Custody Banks;AMP.N;AMP;US;
AmerisourceBergen;Health Care Equipment;Health Care Distributors;ABC.N;ABC;US;
Ametek;Electronic Components;Electrical Components & Equipment;AME.N;AME;US;
Amgen;Biotechnology;Biotechnology;AMGN.N;AMGN;US;
Amphenol;Electronic Components;Electronic Components;APH.N;APH;US;
AMPLITUDE SURGICAL;Health Care Equipment;Health Care Supplies;AMPLI.PA;AMPLI.PA;FR;
AMS AG;Semiconductors;;AMS.S;AMS.SW;CHF;
AMUNDI;Financials;;AMUN.PA;AMUN.PA;FR;
Analog Devices;Semiconductors;Semiconductors;ADI.N;ADI;US;
ANDRITZ;Industrial Machinery;Industrial Machinery;ANDR.VI;ANDR.VI;AT;
ANGLO AMERICAN;Materials;;AAL.L;AAL.L;GB;
ANHEUSER-BUSCH INBEV;Vinters & Tobacco;Brewers;ABI.BR;ABI.BR;BE;
Ansys;Application Software;Application Software;ANSS.N;ANSS;US;
ANTA SPORTS PRODUCTS LTD;Apparel, Accessories & Luxury Goods;Footwear;2020.HK;2020.HK;CH;
Anthem;Health Care Services;Managed Health Care;ANTM.N;ANTM;US;
ANTOFAGASTA;Materials;;ANTO.L;ANTO.L;GB;
ANZ Banking Group;Financials;;ANZ.AX;ANZ.AX;AUS;
Aon;Financials;Insurance Brokers;AON.N;AON;US;
APA Corporation;Oil & Gas;Oil & Gas Exploration & Production;APA.N;APA;US;
APA Group;Energy;Gas Utilities;APA.AX;APA.AX;AUS;
Apple;Electronic Components;Technology Hardware, Storage & Peripherals;AAPL.N;AAPL;US;
Applied Materials;Semiconductors;Semiconductor Equipment;AMAT.N;AMAT;US;
Aptiv;Automobiles and Parts;Auto Parts & Equipment;APTV.N;APTV;US;
ARCADIS;Construction and Materials;;ARDS.AS;ARCAD.AS;NL;
ARCELORMITTAL;Materials;Construction Materials;MT.AS;MT.AS;LU;
ARGENX;Biotechnology;Biotechnology;ARGX.BR;ARGX.BR;BE;
Arista Networks;Information Services;Communications Equipment;ANET.N;ANET;US;
Aristocrat Leisure;Hotels & Restaurants;Casinos & Gaming;ALL.AX;ALL.AX;AUS;
ARKEMA;Chemicals;;AKE.PA;AKE.PA;FR;
Arthur J. Gallagher & Co.;Financials;Insurance Brokers;AJG.N;AJG;US;
ASHMORE GRP;Financial Services;;ASHM.L;ASHM.L;GB;
ASHTEAD GRP;Industrials;Trading Companies & Distributors;AHT.L;AHT.L;GB;
ASM INTERNATIONAL;Semiconductors;;ASMI.AS;ASM.AS;NL;
ASML HLDG;Semiconductors;;ASML.AS;ASML.AS;NL;
ASR NEDERLAND NV;Insurance;;ASRNL.AS;ASRNL.AS;NL;
ASSA ABLOY;Construction and Materials;;ASSAB.ST;ASSA-B.ST;SE;
ASSICURAZIONI GENERALI;Insurance;;GASI.MI;G.MI;IT;
ASSOCIATED BRITISH FOODS;Consumer Staples;Food Retail;ABF.L;ABF.L;GB;
ASSURA;Real Estate;;AGRP.L;AGR.L;GB;
Assurant;Insurance;Multi-line Insurance;AIZ.N;AIZ;US;
ASSYSTEM;Construction and Materials;;ASY.PA;ASY.PA;FR;
ASTRAZENECA;Biotechnology;Pharmaceuticals;AZN.L;AZN.L;GB;
ASX;Financials;;ASX.AX;ASX.AX;AUS;
AT&T;Communication Services;Integrated Telecommunication Services;T.N;T;US;
ATARI;Hotels & Restaurants;;ATAR.PA;ATA.PA;FR;
ATEME;Semiconductors;Systems Software;ATEME.PA;ATEME.PA;FR;
ATLANTIA;Construction and Materials;Highways and Railtracks;ATL.MI;ATL.MI;IT;
ATLAS COPCO A;Industrial Machinery;Industrial Machinery;ATCOA.ST;ATCO-A.ST;SE;
Atmos Energy;Energy;Gas Utilities;ATO.N;ATO;US;
Atos SE;Information Services;Data Processing & Outsourced Services;ATOS.PA;ATO.PA;FR;
AUBEY;Information Services;IT Consulting & Other Services;AUBT.PA;AUB.PA;FR;
AUREA;Utilities;Environmental & Facilities Services;AUER.PA;AURE.PA;FR;
AURES TECHNOLOGIES;Information Services;;AURS.PA;AURS.PA;FR;
AUTO TRADER GROUP;Communication Services;Interactive Media & Services;AUTOA.L;AUTO.L;GB;
AUTO1 GROUP;Automobiles and Parts;;AG1G.DE;AG1.DE;DE;
Autodesk;Application Software;Application Software;ADSK.N;ADSK;US;
Automatic Data Processing;Information Services;Data Processing & Outsourced Services;ADP.N;ADP;US;
AutoZone;Apparel, Accessories & Luxury Goods;Specialty Stores;AZO.N;AZO;US;
AvalonBay Communities;Real Estate;Residential REITs;AVB.N;AVB;US;
AVANZA BANK HLDG;Banks;;AVANZ.ST;AZA.ST;SE;
AVAST PLC;Application Software;Application Software;AVST.L;AVST.L;GB;
Avery Dennison;Materials;Paper Packaging;AVY.N;AVY;US;
AVEVA GRP;Application Software;Application Software;AVV.L;AVV.L;GB;
AVIVA;Insurance;;AV.L;AV.L;GB;
Axa;Insurance;;AXAF.PA;CS.PA;FR;
AXWAY SOFTWARE;Semiconductors;Systems Software;AXW.PA;AXW.PA;FR;
B&M EUROPEAN VALUE RETAIL;Apparel, Accessories & Luxury Goods;;BMEB.L;BME.L;GB;
BACHEM HOLDING;Health Care Services;Life Sciences Tools & Services;BANB.S;BANB.SW;CHF;
BAE SYSTEMS;Aerospace & Defense;Aerospace & Defense;BAES.L;BAES.L;GB;
Baker Hughes;Oil & Gas;Oil & Gas Equipment & Services;BKR.N;BKR;US;
BAKKAFROST;Consumer Staples;Packaged Foods & Meats;BAKKA.OL;BAKKA.OL;NO;
Ball Corp;Materials;Metal & Glass Containers;BLL.N;BLL;US;
BALOISE;Insurance;;BALN.S;BALN.SW;CHF;
BANCO BPM;Banks;;BAMI.MI;BAMI.MI;IT;
Bank of America;Banks;Diversified Banks;BAC.N;BAC;US;
BANK OF CHINA LTD H;Banks;;3988.HK;3988.HK;CH;
BANK OF IRELAND GROUP;Banks;;BIRG.I;BIRG.IR;IE;
BANKINTER;Banks;;BKT.MC;BKT.MC;ES;
BARCLAYS;Banks;;BARC.L;BARC.L;GB;
BARRATT DEVELOPMENTS;Real Estate;;BDEV.L;BDEV.L;GB;
BARRY CALLEBAUT;Consumer Staples;Packaged Foods & Meats;BARN.S;BARN.SW;CHF;
BASF;Chemicals;;BASFN.DE;BAS.DE;DE;
BASTIDE LE CONFORT;Health Care Equipment;Health Care Equipment;BATD.PA;BLC.PA;FR;
Bath & Body Works;Apparel, Accessories & Luxury Goods;Specialty Stores;BBWI.N;BBWI;US;
BAWAG GROUP AG;Banks;;BAWG.VI;BG.VI;AT;
Baxter International;Health Care Equipment;Health Care Equipment;BAX.N;BAX;US;
BAYER;Biotechnology;Pharmaceuticals;BAYGN.DE;BAYN.DE;DE;
BCO BILBAO VIZCAYA ARGENTARIA;Banks;;BBVA.MC;BBVA.MC;ES;
BCO SABADELL;Banks;;SABE.MC;SAB.MC;ES;
BCO SANTANDER;Banks;;SAN.MC;SAN.MC;ES;
BECHTLE;Information Services;IT Consulting & Other Services;BC8G.DE;BC8.DE;DE;
Becton Dickinson;Health Care Equipment;Health Care Equipment;BDX.N;BDX;US;
BEIERSDORF;Apparel, Accessories & Luxury Goods;Personal Products;BEIG.DE;BEI.DE;DE;
BEIJER REF AB;Industrials ;Refrigeration;BEIAB.ST;BEIA-B.ST;SE;
BELIMO HOLDING;Construction and Materials;;BEAN.S;BEAN.SW;CHF;
BELLWAY;Real Estate;Homebuilding;BWY.L;BWY.L;GB;
BENETEAU;Industrials;;CHBE.PA;BEN.PA;FR;
BERKELEY GRP HLDG;Real Estate;Homebuilding;BKY.L;BKY.L;GB;
Berkshire Hathaway;Asset Management;Multi-Sector Holdings;BRKA.N;BRK-B;US;
Best Buy;Information Services;Computer & Electronics Retail;BBY.N;BBY;US;
BHP;Oil & Gas;;BHP.AX;BHP.AX;AUS;
BHP GROUP PLC.;Materials;;BHPB.L;BHP;GB;
BIC;Consumer Staples;Household Products;BICP.PA;BB.PA;FR;
BIG YELLOW GROUP;Real Estate;;BYG.L;BYG.L;GB;
BIGBEN INTERACTIVE;Communication Services;Interactive Home Entertainment;BGBN.PA;BIG.PA;FR;
BILLERUDKORSNAS;Materials;;BILL.ST;BILL.ST;SE;
Biogen;Biotechnology;Biotechnology;BIIB.N;BIIB;US;
BIOMERIEUX;Health Care Equipment;Health Care Equipment;BIOX.PA;BIM.PA;FR;
Bio-Rad Laboratories;Health Care Services;Life Sciences Tools & Services;BIO.N;BIO;US;
Bio-Techne;Health Care Services;Life Sciences Tools & Services;TECH.N;TECH;US;
BlackRock;Asset Management;Asset Management & Custody Banks;BLK.N;BLK;US;
BlueScope;Materials;;BSL.AX;BSL.AX;AUS;
BMW;Automobiles and Parts;;BMWG.DE;BMW.DE;DE;
BNP;Banks;;BNPP.PA;BNP.PA;FR;
BNY Mellon;Asset Management;Asset Management & Custody Banks;BK.N;BK;US;
Boeing;Aerospace & Defense;Aerospace & Defense;BA.N;BA;US;
BOIRON;Biotechnology;Pharmaceuticals;BOIR.PA;BOI.PA;FR;
BOLIDEN;Materials;;BOL.ST;BOL.ST;SE;
BOLLORE;Communication Services;Movies and Entertainment;BOLL.PA;BOL.PA;FR;
BONDUELLE;Consumer Staples;Food Retail;BOND.PA;BON.PA;FR;
Booking Holdings;Consumer Staples;Internet & Direct Marketing Retail;BKNG.N;BKNG;US;
BorgWarner;Automobiles and Parts;Auto Parts & Equipment;BWA.N;BWA;US;
Boston Properties;Real Estate;Office REITs;BXP.N;BXP;US;
Boston Scientific;Health Care Equipment;Health Care Equipment;BSX.N;BSX;US;
BOURSE DIRECT;Financials;;BDRP.PA;BSD.PA;FR;
Bouygues;Construction and Materials;;BOUY.PA;EN.PA;FR;
BP;Oil & Gas;;BP.L;BP.L;GB;
Brambles;Industrials;;BXB.AX;BXB.AX;AUS;
BRENNTAG;Chemicals;;BNRGN.DE;BNR.DE;DE;
BRIDGEPOINT GROUP;Financial Services;;BPTB.L;BPT.L;GB;
Bristol Myers Squibb;Health Care Equipment;Health Care Distributors;BMY.N;BMY;US;
BRITISH AMERICAN TOBACCO;Vinters & Tobacco;Tobacco;BATS.L;BATS.L;GB;
BRITVIC;Consumer Staples;Soft Drinks;BVIC.L;BVIC.L;GB;
Broadcom;Semiconductors;Semiconductors;AVGO.N;AVGO;US;
Broadridge Financial Solutions;Information Services;Data Processing & Outsourced Services;BR.N;BR;US;
Brown & Brown;Financials;Insurance Brokers;BRO.N;BRO;US;
Brown?Forman;Vinters & Tobacco;Distillers & Vintners;BFA.N;BF-B;US;
BT GRP;Telecommunications;;BT.L;BT-A.L;GB;
BUCHER INDUSTRIES;Industrial Machinery;Construction Machinery & Heavy Trucks;BUCN.S;BUCN.SW;CHF;
BUNZL;Industrials;Trading Companies & Distributors;BNZL.L;BNZL.L;GB;
BURBERRY;Apparel, Accessories & Luxury Goods;;BRBY.L;BRBY.L;GB;
BUREAU VERITAS;Information Services;Research & Consulting Services;BVI.PA;BVI.PA;FR;
BYD LTD H;Hotels & Restaurants;Casinos & Gaming;1211.HK;1211.HK;CH;
C. H. Robinson;Freight;Air Freight & Logistics;CHRW.N;CHRW;US;
Cadence Design Systems;Application Software;Application Software;CDNS.N;CDNS;US;
Caesars Entertainment;Hotels & Restaurants;Casinos & Gaming;CZR.N;CZR;US;
CAFOM;Consumer Staples;Home Furnishings;CAFO.PA;CAFO.PA;FR;
CAIXABANK;Banks;;CABK.MC;CABK.MC;ES;
Campbell Soup;Consumer Staples;Packaged Foods & Meats;CPB.N;CPB;US;
CAPELLI;Real Estate;;CAPLI.PA;CAPLI.PA;FR;
Capgemini;Information Services;IT Consulting & Other Services;CAPP.PA;CAP.PA;FR;
Capital One;Financials;Consumer Finance;COF.N;COF;US;
Cardinal Health;Health Care Equipment;Health Care Distributors;CAH.N;CAH;US;
CARL ZEISS MEDITEC;Health Care Equipment;Health Care Equipment;AFXG.DE;AFX.DE;DE;
CARLSBERG B;Vinters & Tobacco;Spirituous;CARLB.CO;CARL-B.CO;DK;
CarMax;Apparel, Accessories & Luxury Goods;Specialty Stores;KMX.N;KMX;US;
CARNIVAL;Hotels & Restaurants;;CCL.L;CCL.L;GB;
Carnival Corporation;Hotels & Restaurants;Hotels, Resorts & Cruise Lines;CCL.N;CCL;US;
Carrefour;Consumer Staples;Hypermarkets & Super Centers;CARR.PA;CA.PA;FR;
Carrier Global;Industrials;Building Products;CARR.N;CARR;US;
CASINO GUICHARD;Consumer Staples;Food Retail;CASP.PA;CO.PA;FR;
CAST;Semiconductors;Systems Software;YAS.PA;CAS.PA;FR;
CASTELLUM;Real Estate;;CAST.ST;CAST.ST;SE;
Catalent;Biotechnology;Pharmaceuticals;CTLT.N;CTLT;US;
CATANA GROUP;Industrials;;CATGR.PA;CATG.PA;FR;
CATERING INTL SCES;Industrials;;CTRG.PA;CTRG.PA;FR;
Caterpillar;Industrial Machinery;Construction Machinery & Heavy Trucks;CAT.N;CAT;US;
CBO TERRITORIA;Real Estate;;CBOT.PA;CBOT.PA;FR;
Cboe Global Markets;Financials;Financial Exchanges & Data;CBOE.N;CBOE;US;
CBRE;Real Estate;Real Estate Services;CBRE.N;CBRE;US;
CD PROJECT SA;Communication Services;Interactive Home Entertainment;CDR.WA;CDR.WA;PL;
CDW;Electronic Components;Technology Distributors;CDW.N;CDW;US;
CEGEDIM;Information Services;;CGDM.PA;CGM.PA;FR;
Celanese;Materials;Specialty Chemicals;CE.N;CE;US;
CELLNEX TELECOM;Telecommunications;;CLNX.MC;CLNX.MC;ES;
CELLTRION INC;Biotechnology;Pharmaceuticals;068270.KS;068270.KS;KS;
Centene;Health Care Services;Managed Health Care;CNC.N;CNC;US;
CenterPoint Energy;Energy;Multi-Utilities;CNP.N;CNP;US;
CENTRICA;Energy;;CNA.L;CNA.L;GB;
Ceridian;Application Software;Application Software;CDAY.N;CDAY;US;
Cerner;Biotechnology;Health Care Technology;CERN.N;CERN;US;
CF Industries;Materials;Fertilizers & Agricultural Chemicals;CF.N;CF;US;
CGG;Oil & Gas;Oil and gas Equipment and Services;GEPH.PA;CGG.PA;FR;
CHARGEURS;Industrials;;CRIP.PA;CRI.PA;FR;
Charles River Laboratories;Health Care Services;Life Sciences Tools & Services;CRL.N;CRL;US;
Charles Schwab;Asset Management;Investment Banking & Brokerage;SCHW.N;SCHW;US;
Charter Communications;Communication Services;Cable & Satellite;CHTR.N;CHTR;US;
Chevron;Oil & Gas;Integrated Oil & Gas;CVX.N;CVX;US;
CHINA CONSTRUCTION BANK CORP H;Banks;;0939.HK;0939.HK;CH;
CHINA MERCHANTS BANK LTD H;Banks;;600036.SS;600036.SS;CH;
Chipotle Mexican Grill;Hotels & Restaurants;Restaurants;CMG.N;CMG;US;
CHR HANSEN HLDG;Biotechnology;Biotechnology;CHRH.CO;CHR.CO;DK;
Chubb;Insurance;Property & Casualty Insurance;CB.N;CB;US;
CHUNGHWA TELECOM LTD;Communication Services;;2412.TW;2412.TW;TW;
Church & Dwight;Consumer Staples;Household Products;CHD.N;CHD;US;
CIBOX INTER A CTIV;Communication Services;;CIBP.PA;CIB.PA;FR;
CIE FINANCIERE RICHEMONT;Apparel, Accessories & Luxury Goods;;CFR.S;CFRHF;CHF;
Cigna;Health Care Services;Managed Health Care;CI.N;CI;US;
Cincinnati Financial;Insurance;Property & Casualty Insurance;CINF.N;CINF;US;
Cintas Corporation;Industrials;Diversified Support Services;CTAS.N;CTAS;US;
Cisco Systems;Information Services;Communications Equipment;CSCO.N;CSCO;US;
Citigroup;Banks;Diversified Banks;C.N;C;US;
Citizens Financial Group;Banks;Regional Banks;CFG.N;CFG;US;
Citrix Systems;Application Software;Application Software;CTXS.N;CTXS;US;
CK HUTCHISON HOLDINGS LTD;Industrials;;0001.HK;0001.HK;CH;
CLARANOVA;Information Services;;AVQ.PA;CLA.PA;FR;
CLARIANT;Chemicals;;CLN.S;CLN.SW;CHF;
Clorox;Consumer Staples;Household Products;CLX.N;CLX;US;
CLOSE BROTHERS GRP;Banks;;CBRO.L;CBG.L;GB;
CLP HOLDINGS LTD;Energy;;0002.HK;0002.HK;CH;
CME Group;Financials;Financial Exchanges & Data;CME.N;CME;US;
CMS Energy;Energy;Multi-Utilities;CMS.N;CMS;US;
CNH Industrial NV;Industrial Machinery;Agricultural & Farm Machinery;CNHI.MI;CNHI.MI;IT;
CNIM CONSTR.FRF 10;Electronic Components;;CNIM.PA;COM.PA;FR;
CNP ASSURANCES;Insurance;;CNPP.PA;CNP.PA;FR;
Coca-Cola;Consumer Staples;Soft Drinks;KO.N;KO;US;
Cochlear;Health Care Equipment;Health Care Equipment;COH.AX;COH.AX;AUS;
COFACE;Insurance;;COFA.PA;COFA.PA;FR;
COFINIMMO;Real Estate;;COFB.BR;COFB.BR;BE;
Cognizant Technology Solutions;Information Services;IT Consulting & Other Services;CTSH.N;CTSH;US;
Coles Group;Consumer Staples;Hypermarkets & Super Centers;COL.AX;COL.AX;AUS;
Colgate-Palmolive;Consumer Staples;Household Products;CL.N;CL;US;
COLOPLAST B;Health Care Equipment;Health Care Supplies;COLOB.CO;COLO-B.CO;DK;
Comcast;Telecommunications;Cable & Satellite;CMCSA.N;CMCSA;US;
Comerica;Banks;Diversified Banks;CMA.N;CMA;US;
COMMERZBANK;Banks;;CBKG.DE;CBK.DE;DE;
Commonwealth Bank;Banks;;CBA.AX;CBA.AX;AUS;
COMPASS GRP;Hotels & Restaurants;;CPG.L;CPG.L;GB;
Conagra Brands;Consumer Staples;Packaged Foods & Meats;CAG.N;CAG;US;
ConocoPhillips;Oil & Gas;Oil & Gas Exploration & Production;COP.N;COP;US;
Consolidated Edison;Energy;Electric Utilities;ED.N;ED;US;
Constellation Brands;Vinters & Tobacco;Distillers & Vintners;STZ.N;STZ;US;
CONTINENTAL;Automobiles and Parts;;CONG.DE;CON.DE;DE;
CONVATEC PLC;Health Care Equipment;Health Care Supplies;CTEC.L;CTEC.L;GB;
Copart;Industrials;Diversified Support Services;CPRT.N;CPRT;US;
CORBION;Materials;Specialty Chemicals;CORB.AS;CRBN.AS;NL;
Corning;Electronic Components;Electronic Components;GLW.N;GLW;US;
Corteva;Materials;Fertilizers & Agricultural Chemicals;CTVA.N;CTVA;US;
Costco;Consumer Staples;Hypermarkets & Super Centers;COST.N;COST;US;
Coterra;Oil & Gas;Oil & Gas Exploration & Production;CTRA.N;CTRA;US;
COUNTRYSIDE PROPERTIES PLC;Hotels & Restaurants;;CSPC.L;CSP.L;GB;
COVESTRO;Chemicals;;1COV.DE;1COV.DE;DE;
Credit Agricole S.A.;Banks;;CAGR.PA;ACA.PA;FR;
CREDIT SUISSE GRP;Banks;;CSGN.S;CSGN.SW;CHF;
CRH;Construction and Materials;;CRH.I;CRG.IR;IE;
CRODA INTERNATIONAL;Chemicals;;CRDA.L;CRDA.L;GB;
Crown Castle;Real Estate;Specialized REITs;CCI.N;CCI;US;
CSL;Biotechnology;Biotechnology;CSL.AX;CSL.AX;AUS;
CSX;Industrials;Railroads;CSX.N;CSX;US;
CTBC FINANCIAL HOLDING LTD;Financials;;2891.TW;2891.TW;TW;
CTS EVENTIM;Communication Services;;EVDG.DE;EVD.DE;DE;
Cummins;Industrial Machinery;Industrial Machinery;CMI.N;CMI;US;
CVS Health;Health Care Services;Health Care Services;CVS.N;CVS;US;
D. R. Horton;Real Estate;Homebuilding;DHI.N;DHI;US;
DAIMLER;Automobiles and Parts;;DAIGN.DE;DAI.DE;DE;
Danaher;Health Care Equipment;Health Care Equipment;DHR.N;DHR;US;
Danone;Consumer Staples;Packaged Foods & Meats;DANO.PA;BN.PA;FR;
DANSKE BANK;Banks;;DANSKE.CO;DANSKE.CO;DK;
Darden Restaurants;Hotels & Restaurants;Restaurants;DRI.N;DRI;US;
DARKTRACE;Application Software;Application Software;DARK.L;DARK.L;GB;
Dassault Systemes SA;Application Software;Application Software;DAST.PA;DSY.PA;FR;
DaVita;Health Care Services;Health Care Facilities;DVA.N;DVA;US;
DBV TECHNOLOGIES;Biotechnology;Biotechnology;DBV.PA;DBV.PA;FR;
DCC;Oil & Gas;Marketing;DCC.L;DCC.L;GB;
DECHRA PHARMACEUTICALS;Biotechnology;Pharmaceuticals;DPH.L;DPH.L;GB;
Deere & Co.;Industrials;Agricultural & Farm Machinery;DE.N;DE;US;
DELIVEROO A;Information Services;Internet & Direct Marketing Retail;ROO.L;ROO.L;GB;
DELIVERY HERO;Consumer Staples;Internet & Direct Marketing Retail;DHER.DE;DHER.DE;DE;
Delta Air Lines;Airlines;Airlines;DAL.N;DAL;US;
DELTA ELECTRONICS INC;Electronic Components;Electronic Components;2308.TW;2308.TW;TW;
DEMANT;Health Care Equipment;Health Care Equipment;DEMANT.CO;DEMANT.CO;DK;
Dentsply Sirona;Health Care Equipment;Health Care Supplies;XRAY.N;XRAY;US;
DERICHEBOURG;Information Services;;DBG.PA;DBG.PA;FR;
DERWENT LONDON;Real Estate;;DLN.L;DLN.L;GB;
