ticker,ticker,as_of,fiscal_end,totalRevenue,netIncome,grossMargins,operatingMargins,profitMargins,returnOnEquity,debtToEquity,ebitda,freeCashflow,operatingCashFlow,researchAndDevelopment,stockholdersEquity,sharesOutstanding,cash,longTermDebt,shortTermDebt,totalLiabilities,currentAssets,currentLiabilities,goodwill,totalAssets,sellingGeneralAdmin,stockBasedComp,acquisitions,interestExpense,revenue_q,netIncome_q,ebitda_q,freeCashflow_q,revenueGrowth,earningsGrowth,costOfRevenue,grossProfit,dilutedShares,incomeTaxExpense,pretaxIncome,interestIncome,amortizationIntangibles,dividendsPaid,buybacks,equityIssuance,debtIssued,debtRepaid,investingCashFlow,financingCashFlow,changeInInventory,changeInReceivables,changeInPayables,impairment,restructuring,interestIncomeBank,netInterestIncome,provisionForCreditLosses,noninterestIncome,noninterestExpense,premiumsEarned,premiumsWritten,claimsIncurred,netInvestmentIncome,dacAmortization,rentalIncome,gainOnDispositions,explorationExpense,depletionDDA,longTermDebtTotal,commercialPaper,operatingLeaseLiability,financeLeaseLiability,accountsReceivable,inventory,accountsPayable,ppeGross,accumulatedDepreciation,intangiblesExGoodwill,retainedEarnings,treasuryStock,preferredEquity,minorityInterest,shortTermInvestments,longTermInvestments,deferredRevenue,remainingPerformanceObligation,loans,deposits,allowanceCreditLosses,tier1CapitalRatio,insuranceReserves,deferredAcqCosts,realEstateNet,realEstateGross,oilGasPropertyNet,regulatoryAssets,regulatoryLiabilities,sector,industry_group
A,0.0,0.0,0.0,0.0980372933864042,0.0980372933864042,0.0980372933864042,0.0980372933864042,0.0980372933864042,0.11764475206368503,0.07842983470912335,0.0980372933864042,0.11764475206368503,0.11764475206368503,0.0980372933864042,0.05882237603184252,0.0980372933864042,0.0,0.07842983470912335,0.2548969628046509,0.07842983470912335,0.07842983470912335,0.07842983470912335,0.07842983470912335,0.07842983470912335,0.0980372933864042,0.11764475206368503,0.039214917354561674,0.11764475206368503,0.019607458677280837,0.019607458677280837,0.019607458677280837,0.039214917354561674,0.17646712809552756,0.17646712809552756,0.0980372933864042,0.0980372933864042,0.0,0.0980372933864042,0.0980372933864042,0.0980372933864042,0.11764475206368503,0.039214917354561674,0.039214917354561674,0.039214917354561674,0.039214917354561674,0.039214917354561674,0.11764475206368503,0.11764475206368503,0.11764475206368503,0.11764475206368503,0.11764475206368503,0.039214917354561674,0.039214917354561674,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.039214917354561674,0.9999803925413228,0.11764475206368503,0.3725417148683359,0.9999803925413228,0.7058685123821102,0.9999803925413228,0.07842983470912335,0.07842983470912335,0.07842983470912335,0.8039058057685143,0.8039058057685143,0.07842983470912335,0.07842983470912335,0.5294013842865827,0.07842983470912335,0.5097939256093018,0.9215505578321994,0.07842983470912335,0.07842983470912335,0.8823356404776377,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.9999803925413228,0.0,0.0
AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884559912309379,0.3653775888925213,0.0,0.0,0.0,0.49999038480029234,0.0,0.0,0.0,0.0,0.49999038480029234,0.0,0.0,0.0,0.0,0.057691198246187576,0.057691198246187576,0.0,0.0,0.0,0.0,0.0,0.9999807696005847,0.9999807696005847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.0,0.9999807696005847,0.49999038480029234,0.5961423818772716,0.3653775888925213,0.8845983731082095,0.8845983731082095,0.0,0.0,0.01923039941539586,0.19230399415395857,0.19230399415395857,0.48075998538489645,0.0,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.0,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.0,0.0
ABBV,0.0,0.0,0.0,0.0,0.1666620371656343,0.0,0.0,0.1666620371656343,0.41665509291408576,0.24999305574845146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055554012388544766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13888503097136193,0.0,0.0,0.027777006194272383,0.24999305574845146,0.0,0.0,0.0,0.0,0.0,0.9999722229938058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.0,0.9999722229938058,0.9999722229938058,0.0,0.9999722229938058,0.8610871920224439,0.8610871920224439,0.1666620371656343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999722229938058,0.4722091053026305,0.055554012388544766,0.0,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.9999722229938058,0.0,0.0
ABNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529380624669137,0.0,0.0,0.0,0.529380624669137,0.0,0.0,0.0,0.0,0.9999411799305923,0.0,0.0,0.0,0.0,0.2352802776307276,0.2352802776307276,0.0,0.0,0.0,0.0,0.0,0.9999411799305923,0.9999411799305923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999411799305923,0.9999411799305923,0.4705605552614552,0.0,0.0,0.9999411799305923,0.9999411799305923,0.6470207634845009,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.0,0.9999411799305923,0.9999411799305923,0.9411211105229104,0.9999411799305923,0.8234809717075465,0.9999411799305923,0.9411211105229104,0.9999411799305923,0.0,0.9999411799305923,0.7646609022998646,0.529380624669137,0.0,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.0,0.9999411799305923,0.0,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.9999411799305923,0.0,0.0
ABT,0.0,0.0,0.0,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.0,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.0,0.02325527313318295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.0,0.02325527313318295,0.1395316387990977,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.02325527313318295,0.9999767447268668,0.02325527313318295,0.02325527313318295,0.9999767447268668,0.9999767447268668,0.5581265551963908,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.02325527313318295,0.9999767447268668,0.9999767447268668,0.7906792865282203,0.9999767447268668,0.8604451059277691,0.9999767447268668,0.0,0.0,0.9999767447268668,0.0,0.0,0.0,0.0,0.0,0.6278923745959397,0.0,0.0,0.0,0.39533964326411014,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.9999767447268668,0.0,0.0
ACGL,0.0,0.0,0.0,0.06382842918235783,0.06382842918235783,0.9999787238569393,0.9999787238569393,0.06382842918235783,0.08510457224314377,0.08510457224314377,0.9999787238569393,0.08510457224314377,0.08510457224314377,0.9999787238569393,0.021276143060785943,0.08510457224314377,0.0,0.9999787238569393,0.9999787238569393,0.08510457224314377,0.9999787238569393,0.9999787238569393,0.8510457224314377,0.08510457224314377,0.4042467181549329,0.08510457224314377,0.06382842918235783,0.06382842918235783,0.021276143060785943,0.021276143060785943,0.9999787238569393,0.042552286121571886,0.10638071530392972,0.10638071530392972,0.9999787238569393,0.9999787238569393,0.0,0.06382842918235783,0.38297057509414695,0.9999787238569393,0.4042467181549329,0.06382842918235783,0.06382842918235783,0.06382842918235783,0.06382842918235783,0.06382842918235783,0.08510457224314377,0.08510457224314377,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.06382842918235783,0.06382842918235783,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.06382842918235783,0.06382842918235783,0.06382842918235783,0.9999787238569393,0.06382842918235783,0.9999787238569393,0.06382842918235783,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.8297695793706518,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.8510457224314377,0.08510457224314377,0.08510457224314377,0.08510457224314377,0.4680751473372907,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.23403757366864536,0.08510457224314377,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.9999787238569393,0.0,0.0
ACN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056602705609328126,0.056602705609328126,0.9999811324314636,0.0,0.01886756853644271,0.0,0.03773513707288542,0.0,0.0,0.0,0.0,0.0,0.0,0.056602705609328126,0.056602705609328126,0.0,0.056602705609328126,0.0,0.0,0.0,0.0,0.056602705609328126,0.056602705609328126,0.0,0.0,0.0,0.056602705609328126,0.056602705609328126,0.056602705609328126,0.37735137072885416,0.0,0.0,0.0,0.0,0.0,0.056602705609328126,0.056602705609328126,0.9999811324314636,0.056602705609328126,0.056602705609328126,0.0,0.0,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.0,0.9999811324314636,0.3962189392652969,0.03773513707288542,0.8679081526763647,0.8867757212128073,0.9999811324314636,0.0,0.9999811324314636,0.0,0.7924378785305938,0.056602705609328126,0.32074866511952604,0.0,0.0,0.9999811324314636,0.0,0.0,0.0,0.0,0.5471594875568385,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.0,0.0
ADBE,0.0,0.0,0.0,0.057691198246187576,0.057691198246187576,0.057691198246187576,0.057691198246187576,0.057691198246187576,0.057691198246187576,0.03846079883079172,0.057691198246187576,0.07692159766158344,0.07692159766158344,0.9999807696005847,0.01923039941539586,0.07692159766158344,0.0,0.03846079883079172,0.5961423818772716,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.057691198246187576,0.07692159766158344,0.03846079883079172,0.057691198246187576,0.01923039941539586,0.01923039941539586,0.01923039941539586,0.03846079883079172,0.09615199707697929,0.09615199707697929,0.057691198246187576,0.057691198246187576,0.0,0.057691198246187576,0.057691198246187576,0.3653775888925213,0.057691198246187576,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.07692159766158344,0.07692159766158344,0.9999807696005847,0.07692159766158344,0.07692159766158344,0.03846079883079172,0.03846079883079172,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.03846079883079172,0.9999807696005847,0.134612795907771,0.11538239649237515,0.9999807696005847,0.8845983731082095,0.9999807696005847,0.03846079883079172,0.9999807696005847,0.057691198246187576,0.8076767754466261,0.8076767754466261,0.03846079883079172,0.03846079883079172,0.03846079883079172,0.057691198246187576,0.9999807696005847,0.03846079883079172,0.9999807696005847,0.03846079883079172,0.6153727812926675,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.9999807696005847,0.0,0.0
ADI,0.0,0.0,0.0,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.020832899314597614,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.020832899314597614,0.04166579862919523,0.0,0.7083185766963188,0.4166579862919523,0.020832899314597614,0.020832899314597614,0.020832899314597614,0.020832899314597614,0.020832899314597614,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.08333159725839046,0.0,0.0,0.0,0.0,0.08333159725839046,0.08333159725839046,0.04166579862919523,0.04166579862919523,0.0,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.04166579862919523,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.04166579862919523,0.04166579862919523,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.04166579862919523,0.9999791671006855,0.9999791671006855,0.8541488718985022,0.7916501739547093,0.8749817712130997,0.9999791671006855,0.020832899314597614,0.020832899314597614,0.020832899314597614,0.24999479177517137,0.24999479177517137,0.020832899314597614,0.020832899314597614,0.9999791671006855,0.04166579862919523,0.9999791671006855,0.9583133684714902,0.2916605904043666,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.9999791671006855,0.0,0.0
ADM,0.0,0.0,0.0,0.11320541121865625,0.11320541121865625,0.13207297975509896,0.13207297975509896,0.13207297975509896,0.11320541121865625,0.056602705609328126,0.11320541121865625,0.11320541121865625,0.11320541121865625,0.9999811324314636,0.056602705609328126,0.09433784268221354,0.0,0.056602705609328126,0.056602705609328126,0.056602705609328126,0.056602705609328126,0.056602705609328126,0.5094243504839532,0.056602705609328126,0.11320541121865625,0.18867568536442708,0.01886756853644271,0.18867568536442708,0.0,0.0,0.9999811324314636,0.0,0.2641459595101979,0.2641459595101979,0.11320541121865625,0.11320541121865625,0.0,0.11320541121865625,0.2075432539008698,0.9999811324314636,0.9999811324314636,0.01886756853644271,0.01886756853644271,0.01886756853644271,0.01886756853644271,0.01886756853644271,0.11320541121865625,0.11320541121865625,0.11320541121865625,0.11320541121865625,0.11320541121865625,0.01886756853644271,0.01886756853644271,0.9999811324314636,0.9999811324314636,0.8113054470670366,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.01886756853644271,0.9999811324314636,0.1509405482915417,0.8113054470670366,0.9811135638950209,0.8113054470670366,0.9999811324314636,0.056602705609328126,0.28301352804664065,0.056602705609328126,0.056602705609328126,0.056602705609328126,0.7924378785305938,0.056602705609328126,0.8113054470670366,0.9999811324314636,0.056602705609328126,0.9999811324314636,0.9999811324314636,0.49055678194751046,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.3962189392652969,0.9999811324314636,0.37735137072885416,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.9999811324314636,0.0,0.0
